sample_id,status,q1_final,q2_final,spectral_radius_rho
0,STABLE_ATTRACTOR,-0.9991610646247864,-0.0024513602256774902,0.9304162263870239
1,STABLE_ATTRACTOR,1.0008320808410645,-0.002449634252116084,0.9217457175254822
2,STABLE_ATTRACTOR,-0.9991610646247864,-0.0024513602256774902,0.9305938482284546
3,STABLE_ATTRACTOR,1.0008320808410645,-0.0024496610276401043,0.8953485488891602
4,STABLE_ATTRACTOR,-0.9991604089736938,-0.0024513816460967064,0.9127568602561951
5,STABLE_ATTRACTOR,1.0008307695388794,-0.0024496756959706545,0.8937432765960693
6,STABLE_ATTRACTOR,-0.9991604089736938,-0.0024513702373951674,0.9289783239364624
7,STABLE_ATTRACTOR,1.0008320808410645,-0.0024496610276401043,0.9414522647857666
8,STABLE_ATTRACTOR,-0.9991610646247864,-0.0024513602256774902,0.9216389656066895
9,STABLE_ATTRACTOR,1.0008320808410645,-0.0024496610276401043,0.9054089784622192
10,STABLE_ATTRACTOR,-0.9991604089736938,-0.0024513781536370516,0.8961484432220459
11,STABLE_ATTRACTOR,-0.9991610646247864,-0.0024513602256774902,0.8990490436553955
12,STABLE_ATTRACTOR,-0.9991610646247864,-0.0024513602256774902,0.8928041458129883
13,STABLE_ATTRACTOR,1.0008307695388794,-0.0024496756959706545,0.8921729922294617
14,STABLE_ATTRACTOR,1.0008307695388794,-0.0024497015401721,0.9110445976257324
15,STABLE_ATTRACTOR,-0.9991604089736938,-0.0024513702373951674,0.8959218263626099
16,STABLE_ATTRACTOR,1.000831961631775,-0.0024496621917933226,0.893255352973938
17,STABLE_ATTRACTOR,1.0008320808410645,-0.0024496610276401043,0.9083157777786255
18,STABLE_ATTRACTOR,-0.9991610646247864,-0.0024513602256774902,0.9178606271743774
19,STABLE_ATTRACTOR,1.0008307695388794,-0.0024496756959706545,0.9136631488800049
20,STABLE_ATTRACTOR,1.0008320808410645,-0.0024496586993336678,0.9289509654045105
21,STABLE_ATTRACTOR,-0.9991604089736938,-0.0024513702373951674,0.9092956185340881
22,STABLE_ATTRACTOR,-0.9991610646247864,-0.0024513602256774902,0.9026864767074585
23,STABLE_ATTRACTOR,1.0008307695388794,-0.0024496756959706545,0.8931218385696411
24,STABLE_ATTRACTOR,1.0008320808410645,-0.002449659863486886,0.9035859107971191
25,STABLE_ATTRACTOR,1.0008307695388794,-0.0024496756959706545,0.9230116009712219
26,STABLE_ATTRACTOR,1.0008320808410645,-0.0024496610276401043,0.9293145537376404
27,STABLE_ATTRACTOR,1.0008320808410645,-0.0024496610276401043,0.8933157920837402
28,STABLE_ATTRACTOR,1.0008320808410645,-0.0024496610276401043,0.9079335927963257
29,STABLE_ATTRACTOR,-0.9991604089736938,-0.0024513702373951674,0.8993439078330994
30,STABLE_ATTRACTOR,1.0008320808410645,-0.0024496610276401043,0.9008762836456299
31,STABLE_ATTRACTOR,-0.9991604089736938,-0.0024513702373951674,0.9297809600830078
32,STABLE_ATTRACTOR,-0.9991610646247864,-0.0024511858355253935,0.8970789909362793
33,STABLE_ATTRACTOR,-0.9991604089736938,-0.0024513702373951674,0.8976888656616211
34,STABLE_ATTRACTOR,-0.9991610646247864,-0.0024513602256774902,0.907128632068634
35,STABLE_ATTRACTOR,1.0008320808410645,-0.0024496610276401043,0.897773265838623
36,STABLE_ATTRACTOR,1.0008320808410645,-0.0024496610276401043,0.8948191404342651
37,STABLE_ATTRACTOR,1.0008307695388794,-0.0024496756959706545,0.8940293788909912
38,STABLE_ATTRACTOR,1.0008320808410645,-0.0024496554397046566,0.9073848724365234
39,STABLE_ATTRACTOR,-0.9991610646247864,-0.0024513602256774902,0.9093870520591736
40,STABLE_ATTRACTOR,-0.9991610646247864,-0.0024513602256774902,0.8965972065925598
41,STABLE_ATTRACTOR,1.0008320808410645,-0.0024496610276401043,0.9280077219009399
42,STABLE_ATTRACTOR,-0.9991604089736938,-0.0024513702373951674,0.8966382741928101
43,STABLE_ATTRACTOR,-0.9991610646247864,-0.0024513599928468466,0.8959610462188721
44,STABLE_ATTRACTOR,1.0008307695388794,-0.0024497753474861383,0.8960025310516357
45,STABLE_ATTRACTOR,-0.9991604089736938,-0.0024513702373951674,0.9153776168823242
46,STABLE_ATTRACTOR,-0.9991610646247864,-0.0024513602256774902,0.9082832336425781
47,STABLE_ATTRACTOR,1.0008307695388794,-0.0024496898986399174,0.8953962922096252
48,STABLE_ATTRACTOR,-0.9991604089736938,-0.0024513762909919024,0.8935866355895996
49,STABLE_ATTRACTOR,-0.9991604089736938,-0.0024513702373951674,0.9108288288116455
50,STABLE_ATTRACTOR,-0.9991610646247864,-0.0024513602256774902,0.8966110348701477
51,STABLE_ATTRACTOR,-0.9991610646247864,-0.0024513595271855593,0.8967610597610474
52,STABLE_ATTRACTOR,-0.9991604089736938,-0.0024513702373951674,0.897938072681427
53,STABLE_ATTRACTOR,-0.9991604089736938,-0.0024513702373951674,0.8944510221481323
54,STABLE_ATTRACTOR,1.0008307695388794,-0.0024496756959706545,0.8994379639625549
55,STABLE_ATTRACTOR,1.0008320808410645,-0.0024496610276401043,0.8934569954872131
56,STABLE_ATTRACTOR,1.0008307695388794,-0.002449676627293229,0.8949853181838989
57,STABLE_ATTRACTOR,1.0008320808410645,-0.0024496610276401043,0.9054563045501709
58,STABLE_ATTRACTOR,-0.9991604089736938,-0.002451470820233226,0.9026397466659546
59,STABLE_ATTRACTOR,1.0008320808410645,-0.0024496610276401043,0.9299185276031494
60,STABLE_ATTRACTOR,1.0008307695388794,-0.0024496756959706545,0.9102191925048828
61,STABLE_ATTRACTOR,-0.9991604089736938,-0.002451371168717742,0.89528888463974
62,STABLE_ATTRACTOR,1.0008310079574585,-0.002449674066156149,0.9003819227218628
63,STABLE_ATTRACTOR,1.0008320808410645,-0.0024496610276401043,0.9200594425201416
64,STABLE_ATTRACTOR,1.0008320808410645,-0.0024496610276401043,0.9000451564788818
65,STABLE_ATTRACTOR,1.0008320808410645,-0.0024496610276401043,0.8921874761581421
66,STABLE_ATTRACTOR,-0.9991604089736938,-0.0024513714015483856,0.9262273907661438
67,STABLE_ATTRACTOR,-0.9991610646247864,-0.0024513602256774902,0.9057480692863464
68,STABLE_ATTRACTOR,-0.9991604089736938,-0.0024513702373951674,0.8960251808166504
69,STABLE_ATTRACTOR,-0.9991604089736938,-0.002451370470225811,0.8945424556732178
70,STABLE_ATTRACTOR,-0.9991610646247864,-0.0024513504467904568,0.9164825677871704
71,STABLE_ATTRACTOR,-0.9991604089736938,-0.0024513702373951674,0.8974294066429138
72,STABLE_ATTRACTOR,1.0008307695388794,-0.0024496756959706545,0.8949365615844727
73,STABLE_ATTRACTOR,-0.9991604089736938,-0.0024513702373951674,0.8948233127593994
74,STABLE_ATTRACTOR,1.0008307695388794,-0.0024496756959706545,0.9002001285552979
75,STABLE_ATTRACTOR,1.0008320808410645,-0.0024496610276401043,0.9019707441329956
76,STABLE_ATTRACTOR,-0.9991610646247864,-0.0024513602256774902,0.9298661947250366
77,STABLE_ATTRACTOR,-0.9991604089736938,-0.0024513702373951674,0.9128086566925049
78,STABLE_ATTRACTOR,-0.9991608262062073,-0.0024513672105968,0.8941078186035156
79,STABLE_ATTRACTOR,-0.9991604089736938,-0.0024513702373951674,0.9057984352111816
80,STABLE_ATTRACTOR,-0.9991604089736938,-0.0024513702373951674,0.8992031812667847
81,STABLE_ATTRACTOR,1.0008307695388794,-0.0024496756959706545,0.9131250381469727
82,STABLE_ATTRACTOR,-0.9991604089736938,-0.0024513727985322475,0.9265275001525879
83,STABLE_ATTRACTOR,-0.9991610646247864,-0.0024513602256774902,0.9138736724853516
84,STABLE_ATTRACTOR,-0.9991604089736938,-0.0024513702373951674,0.8929629325866699
85,STABLE_ATTRACTOR,1.0008307695388794,-0.0024496756959706545,0.8957972526550293
86,STABLE_ATTRACTOR,-0.9991604089736938,-0.0024513702373951674,0.915162980556488
87,STABLE_ATTRACTOR,-0.9991604089736938,-0.0024513702373951674,0.9052996039390564
88,STABLE_ATTRACTOR,-0.9991604089736938,-0.0024513702373951674,0.912653923034668
89,STABLE_ATTRACTOR,-0.9991604089736938,-0.0024514026008546352,0.898993968963623
90,STABLE_ATTRACTOR,1.0008320808410645,-0.0024496610276401043,0.9028313159942627
91,STABLE_ATTRACTOR,1.0008320808410645,-0.0024496600963175297,0.9050923585891724
92,STABLE_ATTRACTOR,-0.9991604089736938,-0.0024513830430805683,0.8944823741912842
93,STABLE_ATTRACTOR,1.0008307695388794,-0.0024496756959706545,0.9242434501647949
94,STABLE_ATTRACTOR,-0.9991604089736938,-0.0024513702373951674,0.9073745012283325
95,STABLE_ATTRACTOR,-0.9991604089736938,-0.0024513702373951674,0.9006943106651306
96,STABLE_ATTRACTOR,1.0008307695388794,-0.0024496756959706545,0.8999223709106445
97,STABLE_ATTRACTOR,-0.9991610646247864,-0.0024513511452823877,0.9026353359222412
98,STABLE_ATTRACTOR,-0.9991610646247864,-0.0024513602256774902,0.9158465266227722
99,STABLE_ATTRACTOR,1.0008307695388794,-0.0024496775586158037,0.8970162868499756
